"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 04:05:58 GMT 2023","Fri Jun 02 04:05:58 GMT 2023","21","","","","","","A user is able to update a product with a valid ID",""
"passed","Fri Jun 02 04:05:57 GMT 2023","Fri Jun 02 04:05:58 GMT 2023","81","","","","","","A user is able to create a new product",""
"passed","Fri Jun 02 04:05:58 GMT 2023","Fri Jun 02 04:05:58 GMT 2023","26","","","","","","A user is able to get a product with a valid ID",""
"passed","Fri Jun 02 04:05:58 GMT 2023","Fri Jun 02 04:05:58 GMT 2023","23","","","","","","A user is able to get a list of products with a valid category ID",""
